geolocation_city,product_category_name,total_orders
americo brasiliense,brinquedos,336
americo de campos,brinquedos,19
ametista do sul,cama_mesa_banho,18
amontada,cool_stuff,11
amparo,cama_mesa_banho,824
amparo da serra,cama_mesa_banho,13
ampere,eletrodomesticos,207
ampére,eletrodomesticos,42
amélia rodrigues,beleza_saude,8
américo brasiliense,brinquedos,87
américo de campos,brinquedos,4
anadia,beleza_saude,4
anage,informatica_acessorios,16
anagé,informatica_acessorios,2
analandia,cama_mesa_banho,54
ananas,esporte_lazer,14
ananindeua,informatica_acessorios,384
ananás,esporte_lazer,5
anapolis,esporte_lazer,324
anastacio,esporte_lazer,31
anastácio,esporte_lazer,8
anaurilandia,brinquedos,14
anaurilândia,brinquedos,10
anchieta,cama_mesa_banho,153
andarai,artigos_de_natal,9
andaraí,artigos_de_natal,5
andira,informatica_acessorios,304
andirá,informatica_acessorios,64
andorinha,automotivo,22
andradas,bebes,312
andradina,beleza_saude,1221
andre da rocha,moveis_decoracao,1
andrelandia,alimentos_bebidas,174
andrelândia,alimentos_bebidas,21
andrequice,beleza_saude,1
andré da rocha,moveis_decoracao,2
angatuba,beleza_saude,261
angelica,ferramentas_jardim,26
angelina,moveis_escritorio,8
angical,beleza_saude,7
angical do piaui,agro_industria_e_comercio,4
angical do piauí,agro_industria_e_comercio,1
angicos,pet_shop,19
angra dos reis,utilidades_domesticas,617
anguera,ferramentas_jardim,6
angulo,utilidades_domesticas,18
angustura,automotivo,2
angélica,ferramentas_jardim,8
anhandui,esporte_lazer,3
anhembi,cool_stuff,11
anhumas,beleza_saude,18
anicuns,beleza_saude,45
anita garibaldi,beleza_saude,26
anitapolis,relogios_presentes,7
anitápolis,relogios_presentes,2
anta,beleza_saude,3
anta gorda,bebes,27
antonina,beleza_saude,270
antonina do norte,moveis_decoracao,14
antonio cardoso,fashion_bolsas_e_acessorios,4
antonio carlos,esporte_lazer,23
antonio goncalves,fashion_bolsas_e_acessorios,14
antonio martins,papelaria,11
antonio pereira,fashion_bolsas_e_acessorios,13
antonio prado,informatica_acessorios,240
antonio prado de minas,cool_stuff,11
antunes,esporte_lazer,3
antunes (igaratinga),esporte_lazer,1
antônio cardoso,fashion_bolsas_e_acessorios,2
antônio carlos,eletrodomesticos,4
antônio gonçalves,fashion_bolsas_e_acessorios,1
antônio martins,papelaria,3
antônio pereira,fashion_bolsas_e_acessorios,2
antônio prado,informatica_acessorios,56
antônio prado de minas,cool_stuff,3
anápolis,esporte_lazer,61
aparecida,eletroportateis,747
aparecida d oeste,consoles_games,4
aparecida d'oeste,consoles_games,16
aparecida de goiania,cama_mesa_banho,203
aparecida de goiânia,cama_mesa_banho,50
aparecida de monte alto,relogios_presentes,4
aparecida de sao manuel,cool_stuff,8
aparecida de são manuel,cool_stuff,2
aparecida do rio negro,fashion_bolsas_e_acessorios,2
aparecida do taboado,construcao_ferramentas_construcao,264
aparecida doeste,consoles_games,1
aperibe,cama_mesa_banho,174
aperibé,cama_mesa_banho,27
apiaca,bebes,52
apiacas,telefonia,35
apiacá,bebes,6
apiacás,telefonia,6
apiai,automotivo,220
apiaí,automotivo,50
apiuna,automotivo,29
apiúna,automotivo,12
apodi,beleza_saude,42
apora,esporte_lazer,2
apore,construcao_ferramentas_construcao,4
aporé,construcao_ferramentas_construcao,3
apuarema,utilidades_domesticas,9
apucarana,esporte_lazer,1074
apuiares,esporte_lazer,5
apuiarés,esporte_lazer,1
aquidaba,papelaria,13
aquidabã,papelaria,3
aquidauana,bebes,119
aquiraz,beleza_saude,48
aracaju,beleza_saude,1243
aracariguama,beleza_saude,252
aracati,informatica_acessorios,249
aracatu,cool_stuff,10
aracatuba,esporte_lazer,1454
arace,relogios_presentes,10
araci,esporte_lazer,102
aracitaba,fashion_bolsas_e_acessorios,8
aracoiaba,cama_mesa_banho,28
aracoiaba da serra,cama_mesa_banho,222
aracruz,informatica_acessorios,233
aracuai,esporte_lazer,315
aragarcas,beleza_saude,35
aragarças,beleza_saude,11
aragoiania,relogios_presentes,8
aragoiânia,relogios_presentes,2
araguacu,informatica_acessorios,16
araguaia,instrumentos_musicais,3
araguaina,relogios_presentes,220
araguana,informatica_acessorios,2
araguapaz,informatica_acessorios,19
araguari,beleza_saude,1228
araguatins,utilidades_domesticas,92
araguaçu,informatica_acessorios,1
araguaína,relogios_presentes,22
aramari,bebes,9
arame,telefonia,25
aramina,eletronicos,40
arandu,moveis_decoracao,70
arantina,beleza_saude,13
arapei,beleza_saude,9
arapeí,beleza_saude,2
arapiraca,informatica_acessorios,134
arapoema,cama_mesa_banho,25
araponga,esporte_lazer,11
arapongas,beleza_saude,179
arapora,eletronicos,50
araporã,eletronicos,12
arapoti,cama_mesa_banho,152
arapua,pet_shop,11
araputanga,ferramentas_jardim,192
arapuá,pet_shop,2
araquari,beleza_saude,272
arara,cama_mesa_banho,8
ararangua,cool_stuff,113
araranguá,cool_stuff,26
araraquara,informatica_acessorios,5183
araras,beleza_saude,1414
arari,brinquedos,35
ararica,construcao_ferramentas_construcao,7
araricá,construcao_ferramentas_construcao,5
araripe,moveis_escritorio,16
araripina,brinquedos,236
araruama,cama_mesa_banho,8162
araruna,cool_stuff,45
arataca,portateis_casa_forno_e_cafe,13
aratiba,cool_stuff,19
aratuba,ferramentas_jardim,11
araucaria,informatica_acessorios,344
araucária,informatica_acessorios,76
araujos,cama_mesa_banho,35
araxa,moveis_decoracao,2074
araxá,moveis_decoracao,346
araçariguama,beleza_saude,48
araçatuba,esporte_lazer,259
araçoiaba,cama_mesa_banho,3
araçoiaba da serra,cama_mesa_banho,46
araçuaí,esporte_lazer,84
araújos,cama_mesa_banho,9
arceburgo,beleza_saude,50
arcos,beleza_saude,660
arcoverde,perfumaria,43
areado,cama_mesa_banho,154
areal,esporte_lazer,144
arealva,moveis_decoracao,72
areia,bebes,17
areia branca,esporte_lazer,37
areia branca dos assis,cama_mesa_banho,5
areial,relogios_presentes,9
areias,moveis_escritorio,80
areiopolis,relogios_presentes,74
areiópolis,relogios_presentes,22
arembepe,ferramentas_jardim,2
arenapolis,cama_mesa_banho,48
arenopolis,esporte_lazer,6
arenápolis,cama_mesa_banho,8
arinos,automotivo,72
aripuana,automotivo,33
aripuanã,automotivo,11
ariquemes,agro_industria_e_comercio,304
ariranha,esporte_lazer,110
armacao de buzios,esporte_lazer,136
armacao dos buzios,esporte_lazer,648
armazem,beleza_saude,29
armazém,beleza_saude,6
armação dos búzios,esporte_lazer,348
arneiroz,beleza_saude,12
aroeiras,telefonia,11
arraial d ajuda,relogios_presentes,10
arraial d'ajuda,relogios_presentes,112
arraial do cabo,cama_mesa_banho,2340
arraias,beleza_saude,12
arroio do meio,telefonia,234
arroio do sal,pet_shop,126
arroio do tigre,bebes,32
arroio dos ratos,cama_mesa_banho,114
arroio grande,industria_comercio_e_negocios,124
arroio trinta,informatica_acessorios,23
arrozal,cool_stuff,6
artur nogueira,cama_mesa_banho,2304
aruana,cama_mesa_banho,7
aruanã,cama_mesa_banho,3
aruja,beleza_saude,318
arujá,beleza_saude,98
arvoredo,fashion_bolsas_e_acessorios,6
arvorezinha,beleza_saude,86
ascurra,cama_mesa_banho,98
assai,cool_stuff,82
assare,papelaria,18
assaré,papelaria,6
assaí,cool_stuff,16
assis,esporte_lazer,741
assis chateaubriand,cama_mesa_banho,236
assuncao,beleza_saude,2
astolfo dutra,cama_mesa_banho,159
astorga,eletrodomesticos,170
atalaia,automotivo,6
atalanta,bebes,11
ataleia,moveis_sala,26
ataléia,moveis_sala,2
atibaia,cama_mesa_banho,1898
atilio vivacqua,brinquedos,18
augustinopolis,esporte_lazer,32
augustinópolis,esporte_lazer,8
augusto correa,cool_stuff,13
augusto corrêa,cool_stuff,8
augusto pestana,cama_mesa_banho,28
aurea,cama_mesa_banho,11
auriflama,cama_mesa_banho,88
aurilandia,beleza_saude,7
aurora,beleza_saude,22
aurora do para,relogios_presentes,8
avai,moveis_sala,14
avanhandava,papelaria,84
avare,relogios_presentes,543
avaré,relogios_presentes,86
avaí,moveis_sala,2
avelar,informatica_acessorios,28
avelino lopes,moveis_decoracao,15
azurita,casa_conforto,15
açailândia,moveis_decoracao,36
açu,ferramentas_jardim,45
açucena,utilidades_domesticas,2
bacabal,beleza_saude,264
bacaxa,beleza_saude,16
bacaxa (saquarema) - distrito,beleza_saude,1
bacuri,eletronicos,10
bady bassitt,construcao_ferramentas_iluminacao,154
baependi,informatica_acessorios,200
bage,informatica_acessorios,727
baguari,fashion_bolsas_e_acessorios,1
bagé,informatica_acessorios,167
baianopolis,beleza_saude,5
baixa grande,relogios_presentes,22
baixa grande do ribeiro,casa_conforto,9
baixo guandu,beleza_saude,432
balbinos,construcao_ferramentas_construcao,10
baldim,beleza_saude,9
balneario arroio do silva,esporte_lazer,80
balneario barra do sul,automotivo,24
balneario camboriu,cama_mesa_banho,3111
balneario de picarras,beleza_saude,3
balneario gaivota,automotivo,31
balneario picarras,ferramentas_jardim,136
balneario pinhal,beleza_saude,96
balneario rincao,brinquedos,8
balneário arroio do silva,esporte_lazer,16
balneário barra do sul,automotivo,8
balneário camboriú,cama_mesa_banho,933
balneário gaivota,automotivo,7
balneário pinhal,beleza_saude,18
balneário piçarras,ferramentas_jardim,82
balneário rincão,brinquedos,6
balsa nova,pet_shop,15
balsamo,cama_mesa_banho,200
balsas,esporte_lazer,450
bambui,cama_mesa_banho,556
bambuí,cama_mesa_banho,80
banabuiu,consoles_games,11
banabuiú,consoles_games,4
bananal,moveis_decoracao,183
bananeiras,cama_mesa_banho,32
bandeira,industria_comercio_e_negocios,10
bandeira do sul,cama_mesa_banho,48
bandeirantes,utilidades_domesticas,375
bandeirantes d'oeste,esporte_lazer,1
bandeirantes do tocantins,beleza_saude,3
banzae,cool_stuff,10
banzaê,cool_stuff,4
barao,informatica_acessorios,15
barao ataliba nogueira,pcs,5
barao de cocais,cool_stuff,788
barao de cotegipe,moveis_decoracao,16
barao de juparana,automotivo,9
barao do triunfo,moveis_decoracao,3
barauna,automotivo,9
baraúna,automotivo,4
barbacena,cama_mesa_banho,2249
barbalha,eletronicos,116
barbosa ferraz,esporte_lazer,90
barcarena,beleza_saude,45
bariri,utilidades_domesticas,676
barra,beleza_saude,64
barra bonita,automotivo,726
barra da estiva,cama_mesa_banho,132
barra de  santo antônio,beleza_saude,1
barra de guabiraba,cama_mesa_banho,13
barra de santa rosa,cama_mesa_banho,11
barra de santo antonio,beleza_saude,9
barra de santo antônio,beleza_saude,1
barra de sao francisco,fashion_bolsas_e_acessorios,202
barra de sao joao,cama_mesa_banho,220
barra de sao miguel,beleza_saude,11
barra de são francisco,fashion_bolsas_e_acessorios,48
barra de são joão,cama_mesa_banho,64
barra de são miguel,beleza_saude,2
barra do bugres,informatica_acessorios,170
barra do choca,beleza_saude,78
barra do choça,beleza_saude,24
barra do corda,esporte_lazer,450
barra do garcas,ferramentas_jardim,1211
barra do garças,ferramentas_jardim,434
barra do jacare,utilidades_domesticas,7
barra do jacaré,utilidades_domesticas,2
barra do mendes,cool_stuff,16
barra do pirai,cama_mesa_banho,157
barra do piraí,cama_mesa_banho,48
barra do ribeiro,brinquedos,47
barra do rio azul,ferramentas_jardim,3
barra do tarrachil,brinquedos,2
barra do turvo,pet_shop,22
barra dos coqueiros,moveis_decoracao,29
barra longa,pcs,17
barra mansa,cama_mesa_banho,973
