geolocation_city,product_category_name,total_orders
caibaté,telefonia,4
caibi,brinquedos,23
caicara do norte,telefonia,5
caico,cama_mesa_banho,200
caicó,cama_mesa_banho,22
caieiras,relogios_presentes,1173
cairu,beleza_saude,6
caiua,cama_mesa_banho,20
caiuá,cama_mesa_banho,4
caiçara do norte,telefonia,2
cajamar,moveis_escritorio,552
cajapio,cool_stuff,3
cajari,telefonia,5
cajati,automotivo,465
cajazeiras,moveis_decoracao,424
cajobi,perfumaria,92
cajueiro,moveis_decoracao,16
cajuri,cama_mesa_banho,4
cajuru,cama_mesa_banho,218
calcado,telefonia,6
caldas,brinquedos,58
caldas brandao,automotivo,4
caldas novas,cama_mesa_banho,1614
caldeirao grande,cama_mesa_banho,1
caldeirao grande do piaui,beleza_saude,2
caldeirão grande,cama_mesa_banho,1
caldeirão grande do piauí,beleza_saude,1
california,esporte_lazer,20
california da barra,artigos_de_festas,14
california da barra (barra do pirai),artigos_de_festas,2
califórnia,esporte_lazer,6
califórnia da barra,artigos_de_festas,4
calmon,ferramentas_jardim,2
camacan,telefonia,120
camacari,esporte_lazer,475
camacho,beleza_saude,11
camamu,beleza_saude,99
camanducaia,eletronicos,164
camapua,cama_mesa_banho,36
camapuã,cama_mesa_banho,6
camaqua,moveis_decoracao,668
camaquã,moveis_decoracao,156
camaragibe,telefonia,114
camaçari,esporte_lazer,54
cambara,automotivo,405
cambara do sul,informatica_acessorios,26
cambará,automotivo,115
cambará do sul,informatica_acessorios,8
cambe,automotivo,110
cambiasca,telefonia,1
cambira,climatizacao,38
camboriu,ferramentas_jardim,239
camboriú,moveis_decoracao,65
cambuci,automotivo,114
cambui,cama_mesa_banho,1232
cambuquira,brinquedos,120
cambuí,cama_mesa_banho,168
cambé,moveis_decoracao,27
cameta,beleza_saude,65
cametá,beleza_saude,14
camocim,moveis_escritorio,146
camocim de sao felix,telefonia,30
camocim de são félix,telefonia,4
campanario,relogios_presentes,9
campanha,moveis_decoracao,258
campanário,relogios_presentes,2
campestre,ferramentas_jardim,70
campestre da serra,esporte_lazer,6
campestre do maranhao,esporte_lazer,9
campestre do maranhão,esporte_lazer,2
campina da lagoa,eletrodomesticos_2,116
campina das missoes,eletronicos,25
campina das missões,eletronicos,4
campina do monte alegre,pet_shop,31
campina grande,beleza_saude,355
campina grande do sul,moveis_decoracao,246
campina verde,automotivo,142
campinacu,relogios_presentes,4
campinapolis,cama_mesa_banho,40
campinas,cama_mesa_banho,14862
campinas do sul,moveis_decoracao,90
campinaçu,relogios_presentes,2
campinorte,artigos_de_festas,90
campinápolis,cama_mesa_banho,8
campo alegre,cool_stuff,32
campo alegre de goias,bebes,18
campo alegre de lourdes,cool_stuff,14
"campo alegre de lourdes, bahia, brasil",cool_stuff,1
campo alegre de minas,informatica_acessorios,2
campo alegre do fidalgo,beleza_saude,4
campo azul,cama_mesa_banho,4
campo belo,automotivo,741
campo bom,utilidades_domesticas,1480
campo bonito,industria_comercio_e_negocios,9
campo do brito,moveis_decoracao,22
campo do meio,informatica_acessorios,104
campo do tenente,instrumentos_musicais,14
campo ere,eletronicos,74
campo erê,eletronicos,12
campo florido,informatica_acessorios,60
campo formoso,beleza_saude,344
campo grande,informatica_acessorios,2632
campo grande do piaui,relogios_presentes,4
campo grande do piauí,relogios_presentes,2
campo largo,telefonia,403
campo limpo paulista,esporte_lazer,327
campo magro,eletronicos,64
campo maior,informatica_acessorios,110
campo mourao,informatica_acessorios,410
campo mourão,informatica_acessorios,77
campo novo,brinquedos,24
campo novo do parecis,sinalizacao_e_seguranca,846
campo verde,esporte_lazer,288
campos altos,automotivo,56
campos belos,esporte_lazer,150
campos borges,beleza_saude,20
campos de julio,relogios_presentes,30
campos de júlio,relogios_presentes,8
campos do jordao,beleza_saude,1815
campos do jordão,beleza_saude,400
campos dos goytacaze,informatica_acessorios,3
campos dos goytacazes,cama_mesa_banho,3467
campos gerais,cama_mesa_banho,168
campos novos,moveis_decoracao,954
campos sales,relogios_presentes,46
campos verdes,ferramentas_jardim,8
camutanga,esporte_lazer,16
canaa,beleza_saude,7
canaa dos carajas,relogios_presentes,84
cananeia,cama_mesa_banho,132
cananéia,cama_mesa_banho,36
canapi,moveis_decoracao,4
canapolis,beleza_saude,35
canarana,bebes,120
canavieiras,alimentos,83
canaã,beleza_saude,3
canaã dos carajás,relogios_presentes,32
candangolandia,eletronicos,1
candangolândia,perfumaria,2
candeal,cama_mesa_banho,9
candeias,cama_mesa_banho,86
candeias do jamari,moveis_decoracao,15
candelaria,cool_stuff,128
candelária,cool_stuff,22
candido de abreu,esporte_lazer,80
candido godoi,utilidades_domesticas,132
candido mendes,beleza_saude,18
candido mota,relogios_presentes,399
candido rodrigues,audio,16
candido sales,artigos_de_natal,28
candiota,cama_mesa_banho,34
candoi,construcao_ferramentas_construcao,40
candói,construcao_ferramentas_construcao,10
canela,esporte_lazer,717
canelinha,relogios_presentes,80
cangucu,ferramentas_jardim,324
canguçu,ferramentas_jardim,60
canhotinho,automotivo,28
caninde,beleza_saude,53
caninde de sao francisco,automotivo,28
canindé,beleza_saude,4
canindé de são francisco,automotivo,4
canitar,cama_mesa_banho,15
canoas,moveis_decoracao,2294
canoinhas,moveis_decoracao,1080
cansancao,papelaria,70
cansanção,papelaria,18
cantagalo,esporte_lazer,252
cantanhede,relogios_presentes,14
canto do buriti,eletrodomesticos_2,31
canudos,moveis_decoracao,21
canápolis,beleza_saude,7
capanema,informatica_acessorios,192
capao bonito,moveis_decoracao,265
capao da canoa,cama_mesa_banho,1554
capao da porteira,beleza_saude,1
capao do cipo,bebes,8
capao do leao,ferramentas_jardim,94
caparao,moveis_decoracao,8
caparaó,moveis_decoracao,2
capela,ferramentas_jardim,96
capela de santana,esporte_lazer,50
capela do alto,automotivo,68
capela do alto alegre,cama_mesa_banho,31
capela nova,cama_mesa_banho,11
capelinha,beleza_saude,755
capetinga,ferramentas_jardim,15
capim branco,brinquedos,27
capim grosso,beleza_saude,144
capinopolis,esporte_lazer,50
capinzal,telefonia,580
capinzal do norte,esporte_lazer,7
capinópolis,esporte_lazer,12
capistrano,eletrodomesticos,13
capitao,cama_mesa_banho,16
capitao andrade,relogios_presentes,11
capitao eneas,esporte_lazer,26
capitao leonidas marques,ferramentas_jardim,98
capitao poco,automotivo,30
capitolio,esporte_lazer,480
capitão,cama_mesa_banho,4
capitão andrade,relogios_presentes,5
capitão enéas,esporte_lazer,6
capitão leônidas marques,ferramentas_jardim,22
capitão poço,automotivo,7
capitólio,esporte_lazer,108
capivari,cama_mesa_banho,1953
capivari de baixo,ferramentas_jardim,180
capivari do sul,eletrodomesticos_2,23
capoeiras,perfumaria,12
caputira,cool_stuff,16
capão bonito,cama_mesa_banho,66
capão da canoa,cama_mesa_banho,357
capão do cipó,bebes,2
capão do leão,ferramentas_jardim,30
caracol,beleza_saude,12
caraguatatuba,utilidades_domesticas,1162
carai,automotivo,44
caraiba,bebes,14
caraibas,telefonia,3
carajas,bebes,1
carambei,esporte_lazer,124
carambeí,esporte_lazer,22
carandai,informatica_acessorios,396
carandaí,informatica_acessorios,76
carangola,bebes,848
carapebus,esporte_lazer,88
carapicuiba,cama_mesa_banho,4358
carapicuíba,cama_mesa_banho,949
caratinga,cama_mesa_banho,3881
caraubas,ferramentas_jardim,15
caravelas,alimentos,25
carazinho,relogios_presentes,810
caraí,automotivo,22
caraíbas,telefonia,2
caraúbas,ferramentas_jardim,10
carbonita,pet_shop,82
cardoso,ferramentas_jardim,102
cardoso moreira,beleza_saude,132
careacu,eletronicos,18
careaçu,eletronicos,8
cariacica,informatica_acessorios,834
caridade,relogios_presentes,10
carinhanha,ferramentas_jardim,34
carire,esporte_lazer,12
cariri do tocantins,cama_mesa_banho,4
caririacu,beleza_saude,13
caririaçu,beleza_saude,2
cariré,esporte_lazer,4
carius,cama_mesa_banho,16
cariús,cama_mesa_banho,6
carlinda,eletrodomesticos,11
carlopolis,beleza_saude,55
carlos barbosa,beleza_saude,692
carlos chagas,brinquedos,67
carlópolis,beleza_saude,18
carmesia,automotivo,14
carmo,cama_mesa_banho,315
carmo da cachoeira,informatica_acessorios,86
carmo da mata,brinquedos,56
carmo de minas,bebes,34
carmo do cajuru,esporte_lazer,252
carmo do paranaiba,beleza_saude,572
carmo do paranaíba,beleza_saude,84
carmo do rio claro,brinquedos,486
carmo do rio verde,beleza_saude,26
carmolandia,moveis_decoracao,3
carmopolis,beleza_saude,10
carmopolis de minas,informatica_acessorios,82
carmésia,automotivo,2
carmópolis,beleza_saude,3
carmópolis de minas,informatica_acessorios,24
carnaiba,bebes,7
carnaiba do sertao,telefonia,2
carnauba dos dantas,cool_stuff,10
carnaubais,beleza_saude,4
carnaubal,fashion_bolsas_e_acessorios,17
carnaíba,bebes,5
carnaúba dos dantas,cool_stuff,3
carneirinho,automotivo,37
carolina,bebes,26
carpina,telefonia,52
carrancas,beleza_saude,9
caruaru,telefonia,331
carutapera,esporte_lazer,18
carvalhopolis,bebes,19
carvalhópolis,bebes,2
casa branca,esporte_lazer,304
casa nova,fashion_bolsas_e_acessorios,70
casca,bebes,140
cascalho rico,construcao_ferramentas_construcao,5
cascavel,moveis_decoracao,2508
caseiros,malas_acessorios,9
casimiro de abreu,cama_mesa_banho,453
cassia,telefonia,92
cassia dos coqueiros,informatica_acessorios,6
cassilandia,esporte_lazer,192
cassilândia,esporte_lazer,28
castanhal,esporte_lazer,140
castanheira,bebes,9
castanheiras,informatica_acessorios,3
castelandia,automotivo,10
castelo,relogios_presentes,420
castelo do piaui,moveis_decoracao,42
castelo do piauí,moveis_decoracao,9
castelândia,automotivo,3
castilho,eletronicos,452
castro,moveis_decoracao,386
castro alves,fashion_bolsas_e_acessorios,27
cataguases,cama_mesa_banho,460
catalao,ferramentas_jardim,272
catalão,ferramentas_jardim,73
catanduva,cama_mesa_banho,836
catanduvas,esporte_lazer,68
catarina,cool_stuff,6
catas altas,automotivo,30
catende,ferramentas_jardim,72
catigua,brinquedos,21
catiguá,brinquedos,6
catole do rocha,cool_stuff,110
catolé do rocha,cool_stuff,30
catu,cama_mesa_banho,196
catu de abrantes,agro_industria_e_comercio,10
catuipe,pet_shop,38
caturama,brinquedos,13
catuípe,pet_shop,6
caucaia,telefonia,53
cavalcante,ferramentas_jardim,23
caxambu,cama_mesa_banho,489
caxambu do sul,pet_shop,7
caxias,esporte_lazer,47
caxias do sul,moveis_decoracao,3446
caçador,moveis_decoracao,70
caçapava,cama_mesa_banho,83
caçapava do sul,cama_mesa_banho,56
caçu,beleza_saude,16
caém,beleza_saude,4
ceara mirim,alimentos_bebidas,1
ceara-mirim,alimentos_bebidas,21
ceará-mirim,alimentos_bebidas,5
cedral,beleza_saude,122
cedro,automotivo,31
cedro de sao joao,beleza_saude,8
cedro de são joão,beleza_saude,1
cedro do abaete,pet_shop,2
ceilandia,beleza_saude,88
ceilandia norte,beleza_saude,3
ceilândia,cama_mesa_banho,10
celina,brinquedos,5
celso ramos,bebes,132
centenario,cool_stuff,3
centenario do sul,cama_mesa_banho,29
centenário do sul,cama_mesa_banho,5
central,livros_interesse_geral,15
central de santa helena,perfumaria,4
centralina,telefonia,30
centro novo do maranhao,relogios_presentes,5
centro novo do maranhão,relogios_presentes,3
cerejeiras,cama_mesa_banho,41
ceres,beleza_saude,90
cerqueira cesar,moveis_decoracao,714
cerqueira césar,moveis_decoracao,126
cerquilho,cama_mesa_banho,1890
cerrito,ferramentas_jardim,13
cerro azul,brinquedos,50
cerro grande,utilidades_domesticas,6
cerro grande do sul,casa_conforto,22
cerro largo,utilidades_domesticas,420
cerro negro,ferramentas_jardim,6
cesario lange,automotivo,108
cesário lange,automotivo,32
ceu azul,bebes,44
cezarina,esporte_lazer,13
cha de alegria,esporte_lazer,2
cha grande,cool_stuff,12
chacara,cama_mesa_banho,14
chale,esporte_lazer,10
chalé,esporte_lazer,4
chapada,beleza_saude,39
chapada do norte,instrumentos_musicais,18
chapada dos guimaraes,audio,37
chapada dos guimarães,audio,14
chapada gaucha,bebes,25
chapada gaúcha,informatica_acessorios,4
chapadao do ceu,esporte_lazer,90
chapadao do lageado,cool_stuff,9
chapadao do sul,moveis_decoracao,332
chapadinha,fashion_bolsas_e_acessorios,170
chapadão do céu,esporte_lazer,16
chapadão do lageado,cool_stuff,3
chapadão do sul,moveis_decoracao,88
chapeco,informatica_acessorios,1092
chapecó,informatica_acessorios,347
charqueada,utilidades_domesticas,166
charqueadas,beleza_saude,612
charrua,casa_construcao,5
chaval,utilidades_domesticas,11
chavantes,cama_mesa_banho,130
chaveslandia,automotivo,1
chiapetta,cool_stuff,6
chopinzinho,bebes,47
chorozinho,relogios_presentes,6
chorrocho,ferramentas_jardim,13
chorrochó,ferramentas_jardim,2
chui,esporte_lazer,70
chuí,esporte_lazer,28
chácara,cama_mesa_banho,3
chã de alegria,esporte_lazer,2
chã grande,cool_stuff,2
cianorte,beleza_saude,791
cicero dantas,moveis_escritorio,840
cidade gaucha,cama_mesa_banho,148
cidade gaúcha,cama_mesa_banho,28
cidade ocidental,informatica_acessorios,32
cidelandia,beleza_saude,24
cidreira,informatica_acessorios,116
cipo,ferramentas_jardim,27
cipó,ferramentas_jardim,6
ciriaco,industria_comercio_e_negocios,15
ciríaco,industria_comercio_e_negocios,1
claraval,beleza_saude,6
claro dos pocoes,ferramentas_jardim,10
claro dos poções,ferramentas_jardim,1
claudia,cama_mesa_banho,58
claudio,cama_mesa_banho,690
clementina,cama_mesa_banho,39
clevelandia,esporte_lazer,141
clevelândia,esporte_lazer,33
cláudia,cama_mesa_banho,14
cláudio,cama_mesa_banho,138
coaraci,cool_stuff,33
coari,beleza_saude,20
cocais,papelaria,6
cocal,audio,30
cocal do sul,automotivo,128
cocalinho,telefonia,65
cocalzinho de goias,informatica_acessorios,15
cocalzinho de goiás,informatica_acessorios,3
cocos,cama_mesa_banho,35
codo,moveis_escritorio,305
codó,moveis_escritorio,60
coelho neto,bebes,66
coimbra,cama_mesa_banho,27
coite do noia,papelaria,5
colatina,informatica_acessorios,722
colider,moveis_escritorio,236
colina,fashion_bolsas_e_acessorios,208
colinas,perfumaria,58
colinas do tocantins,cama_mesa_banho,75
colmeia,automotivo,20
colméia,automotivo,3
colniza,construcao_ferramentas_construcao,63
colombia,cama_mesa_banho,22
colombo,esporte_lazer,527
colonia castrolanda,cama_mesa_banho,4
colonia leopoldina,telefonia,16
colonia vitoria,construcao_ferramentas_seguranca,4
colorado,fashion_bolsas_e_acessorios,200
colorado do oeste,fashion_bolsas_e_acessorios,40
coluna,beleza_saude,52
colíder,moveis_escritorio,56
colômbia,cama_mesa_banho,5
colônia leopoldina,telefonia,8
colônia vitória,construcao_ferramentas_seguranca,2
combinado,relogios_presentes,11
comendador levy gasparian,papelaria,36
comercinho,relogios_presentes,16
comodoro,esporte_lazer,130
conceicao,beleza_saude,21
conceicao da aparecida,moveis_decoracao,203
conceicao da barra,cama_mesa_banho,84
conceicao da feira,moveis_decoracao,44
conceicao da ibitipoca,telefonia,4
conceicao das alagoas,beleza_saude,81
conceicao das pedras,utilidades_domesticas,22
conceicao de macabu,esporte_lazer,366
conceicao do almeida,tablets_impressao_imagem,22
conceicao do araguaia,relogios_presentes,210
conceicao do caninde,beleza_saude,3
conceicao do castelo,relogios_presentes,58
conceicao do coite,ferramentas_jardim,148
conceicao do jacuipe,eletrodomesticos,49
conceicao do mato dentro,cama_mesa_banho,375
conceicao do para,beleza_saude,14
conceicao do rio verde,livros_importados,80
conceicao do tocantins,brinquedos,6
conceicao dos ouros,beleza_saude,49
conceição,beleza_saude,3
conceição da aparecida,moveis_decoracao,56
conceição da barra,cama_mesa_banho,18
conceição da feira,moveis_decoracao,4
conceição das alagoas,beleza_saude,20
conceição das pedras,utilidades_domesticas,2
conceição de macabu,esporte_lazer,54
conceição do almeida,tablets_impressao_imagem,3
conceição do araguaia,relogios_presentes,42
conceição do castelo,relogios_presentes,22
conceição do coité,ferramentas_jardim,48
conceição do jacuípe,eletrodomesticos,11
conceição do mato dentro,cama_mesa_banho,54
conceição do pará,beleza_saude,2
conceição do rio verde,livros_importados,10
conceição do tocantins,brinquedos,2
conceição dos ouros,beleza_saude,13
conchal,utilidades_domesticas,572
conchas,automotivo,56
concordia,moveis_decoracao,772
concordia do para,agro_industria_e_comercio,21
concórdia,moveis_decoracao,131
concórdia do pará,agro_industria_e_comercio,5
condado,bebes,20
conde,consoles_games,58
condeuba,perfumaria,14
condeúba,perfumaria,3
condor,moveis_decoracao,38
confins,esporte_lazer,35
confresa,telefonia,154
congonhal,beleza_saude,47
congonhas,beleza_saude,1735
congonhinhas,automotivo,29
conquista,cama_mesa_banho,74
conquista d'oeste,ferramentas_jardim,13
conrado,perfumaria,4
conselheiro lafaiete,cama_mesa_banho,5643
conselheiro mairinck,esporte_lazer,21
conselheiro pena,cama_mesa_banho,252
conservatoria,cama_mesa_banho,45
conservatória,cama_mesa_banho,20
constantina,beleza_saude,32
contagem,esporte_lazer,4934
contenda,brinquedos,27
coqueiro baixo,bebes,2
coqueiros do sul,papelaria,3
coracao de jesus,beleza_saude,21
coracao de maria,papelaria,11
coração de jesus,beleza_saude,5
coração de maria,papelaria,4
corbelia,cool_stuff,42
corbélia,cool_stuff,9
cordeiro,automotivo,513
cordeiropolis,bebidas,456
cordeiros,instrumentos_musicais,12
cordeirópolis,bebidas,96
coreau,telefonia,15
coreaú,telefonia,3
coremas,brinquedos,22
corguinho,utilidades_domesticas,20
coribe,beleza_saude,60
corinto,automotivo,154
cornelio procopio,papelaria,936
cornélio procópio,papelaria,184
coroaci,informatica_acessorios,28
coroados,esporte_lazer,13
coroata,moveis_decoracao,150
coroatá,moveis_decoracao,21
coromandel,fashion_bolsas_e_acessorios,945
coronel domingos soares,papelaria,7
coronel fabriciano,cool_stuff,1132
coronel freitas,beleza_saude,44
coronel joao pessoa,informatica_acessorios,5
coronel joao sa,brinquedos,19
coronel joão sá,brinquedos,7
coronel macedo,beleza_saude,26
coronel martins,moveis_decoracao,2
coronel murta,instrumentos_musicais,74
coronel pacheco,relogios_presentes,9
coronel sapucaia,cama_mesa_banho,33
coronel vivida,cama_mesa_banho,321
corrego danta,artigos_de_natal,20
corrego fundo,informatica_acessorios,3
correia pinto,informatica_acessorios,174
corrente,cama_mesa_banho,78
correntes,relogios_presentes,9
correntina,relogios_presentes,72
cortes,cool_stuff,10
cortês,cool_stuff,1
corumba,relogios_presentes,228
corumba de goias,cama_mesa_banho,15
corumbaiba,cama_mesa_banho,33
corumbatai,brinquedos,15
corumbatai do sul,automotivo,10
corumbataí,brinquedos,9
corumbaíba,cama_mesa_banho,5
corumbá,brinquedos,31
corumbá de goiás,cama_mesa_banho,4
corupa,casa_construcao,39
corupá,casa_construcao,6
coruripe,beleza_saude,43
cosmopolis,cama_mesa_banho,1787
cosmorama,cool_stuff,111
cosmópolis,cama_mesa_banho,256
costa marques,beleza_saude,15
costa rica,cama_mesa_banho,315
cotegipe,perfumaria,6
cotia,cama_mesa_banho,3299
cotipora,esporte_lazer,19
cotiporã,esporte_lazer,2
cotriguacu,perfumaria,26
cotriguaçu,perfumaria,7
couto de magalhaes,eletronicos,5
couto de magalhães,eletronicos,1
coxilha,beleza_saude,4
coxim,cool_stuff,426
crateus,relogios_presentes,152
crateús,relogios_presentes,12
crato,beleza_saude,133
cravinhos,moveis_decoracao,1050
cravolandia,esporte_lazer,5
cravolândia,esporte_lazer,1
criciuma,cama_mesa_banho,866
criciúma,cama_mesa_banho,193
crisolita,beleza_saude,10
crisopolis,fashion_bolsas_e_acessorios,27
crissiumal,cama_mesa_banho,45
cristais,ferramentas_jardim,54
cristais paulista,automotivo,23
cristal,beleza_saude,19
cristalandia,automotivo,11
cristalia,beleza_saude,20
cristalina,bebes,294
cristiano otoni,cama_mesa_banho,18
cristina,brinquedos,70
cristinapolis,construcao_ferramentas_seguranca,6
cristinápolis,construcao_ferramentas_seguranca,2
cristopolis,construcao_ferramentas_jardim,6
cristália,beleza_saude,6
cristópolis,construcao_ferramentas_jardim,1
crisópolis,fashion_bolsas_e_acessorios,4
crixas,automotivo,94
crixás,automotivo,20
croata,beleza_saude,8
croatá,beleza_saude,3
crominia,perfumaria,8
cromínia,perfumaria,1
crucilandia,utilidades_domesticas,14
crucilândia,utilidades_domesticas,2
cruz,eletronicos,114
cruz alta,automotivo,278
cruz das almas,cama_mesa_banho,1056
cruz machado,telefonia,80
cruzalia,esporte_lazer,22
cruzeiro,informatica_acessorios,454
cruzeiro da fortaleza,esporte_lazer,10
cruzeiro do iguacu,cool_stuff,13
cruzeiro do iguaçu,cool_stuff,2
cruzeiro do oeste,cama_mesa_banho,170
cruzeiro do sul,telefonia,123
cruzilia,eletronicos,64
cruzália,esporte_lazer,4
cruzília,eletronicos,7
cubatao,beleza_saude,704
cubati,beleza_saude,5
cubatão,beleza_saude,136
cuiaba,beleza_saude,1898
cuiabá,beleza_saude,493
cuite,fashion_bolsas_e_acessorios,21
cuité,fashion_bolsas_e_acessorios,6
cujubim,cama_mesa_banho,9
cumari,esporte_lazer,7
cumaru,beleza_saude,6
cunha,cama_mesa_banho,392
cunha pora,bebes,41
cunha porã,bebes,5
cupira,papelaria,21
curaca,informatica_acessorios,46
curaçá,informatica_acessorios,16
curitiba,moveis_decoracao,17653
curitibanos,informatica_acessorios,1350
curiuva,automotivo,32
curiúva,automotivo,10
currais novos,cama_mesa_banho,158
curral de cima,relogios_presentes,1
curralinho,beleza_saude,36
curuca,telefonia,33
cururupu,beleza_saude,23
curuçá,telefonia,6
curvelandia,cama_mesa_banho,18
curvelo,cama_mesa_banho,2484
curvelândia,cama_mesa_banho,4
custodia,esporte_lazer,58
custódia,esporte_lazer,12
cáceres,moveis_escritorio,204
cássia,telefonia,26
cássia dos coqueiros,informatica_acessorios,4
cândido de abreu,esporte_lazer,14
cândido godói,utilidades_domesticas,30
cândido mendes,beleza_saude,6
cândido mota,relogios_presentes,99
cândido rodrigues,audio,4
cândido sales,artigos_de_natal,4
céu azul,bebes,6
cícero dantas,moveis_escritorio,270
córrego danta,artigos_de_natal,2
damianopolis,eletronicos,14
damianópolis,eletronicos,2
dario meira,construcao_ferramentas_iluminacao,10
datas,utilidades_domesticas,108
david canabarro,moveis_decoracao,42
delfim moreira,informatica_acessorios,11
delfinopolis,ferramentas_jardim,63
delfinópolis,ferramentas_jardim,12
delmiro gouveia,esporte_lazer,156
demerval lobao,pet_shop,10
denise,informatica_acessorios,20
deodapolis,eletroportateis,10
deodápolis,eletroportateis,7
deputado irapuan pinheiro,automotivo,8
descalvado,informatica_acessorios,628
descoberto,cama_mesa_banho,36
desembargador otoni,fashion_bolsas_e_acessorios,4
desterro,automotivo,9
desterro de entre rios,esporte_lazer,42
desterro do melo,fashion_bolsas_e_acessorios,5
dezesseis de novembro,malas_acessorios,4
diadema,cama_mesa_banho,4308
diamante d  oeste,papelaria,2
diamante d'oeste,papelaria,6
diamante do norte,cama_mesa_banho,58
diamantina,cama_mesa_banho,1304
diamantino,cama_mesa_banho,74
dianopolis,brinquedos,117
dianópolis,brinquedos,27
dias d avila,telefonia,65
dias d'avila,telefonia,530
dias d'ávila,telefonia,295
dias davila,telefonia,30
dias dávila,telefonia,15
diogo de vasconcelos,ferramentas_jardim,16
dionisio,cama_mesa_banho,19
dionisio cerqueira,esporte_lazer,92
dionísio,cama_mesa_banho,4
dionísio cerqueira,esporte_lazer,20
diorama,cama_mesa_banho,6
divinesia,cool_stuff,9
divino,cama_mesa_banho,380
divino das laranjeiras,beleza_saude,15
divino de sao lourenco,moveis_sala,9
divino de são lourenço,moveis_sala,1
divinolandia,moveis_decoracao,112
divinolandia de minas,perfumaria,42
divinolândia,moveis_decoracao,24
divinolândia de minas,perfumaria,12
divinopolis,ferramentas_jardim,8196
divinopolis de goias,fashion_bolsas_e_acessorios,8
divinopolis do tocantins,esporte_lazer,6
divinésia,cool_stuff,3
divinópolis,ferramentas_jardim,1519
divinópolis de goiás,fashion_bolsas_e_acessorios,1
divinópolis do tocantins,esporte_lazer,4
divisa alegre,beleza_saude,9
divisa nova,brinquedos,16
dobrada,perfumaria,22
dois corregos,informatica_acessorios,424
dois córregos,informatica_acessorios,128
dois irmaos,esporte_lazer,484
dois irmaos do buriti,beleza_saude,12
dois irmãos,esporte_lazer,108
dois irmãos do buriti,beleza_saude,4
dois riachos,beleza_saude,6
dois vizinhos,beleza_saude,1045
dom aquino,informatica_acessorios,50
dom basilio,construcao_ferramentas_ferramentas,16
dom basílio,construcao_ferramentas_ferramentas,4
dom cavati,informatica_acessorios,34
dom eliseu,esporte_lazer,92
dom feliciano,moveis_decoracao,72
dom joaquim,relogios_presentes,22
dom macedo costa,cool_stuff,3
dom pedrito,bebes,540
dom pedro,beleza_saude,54
dom silverio,cool_stuff,19
dom silvério,cool_stuff,2
dom vicoso,automotivo,7
domingos martins,esporte_lazer,98
dona emma,informatica_acessorios,13
dona euzebia,beleza_saude,15
dona euzébia,beleza_saude,3
dona francisca,bebes,12
dores de campos,cama_mesa_banho,189
dores de guanhaes,perfumaria,5
dores de guanhães,perfumaria,4
dores do indaia,cama_mesa_banho,210
dores do indaiá,cama_mesa_banho,21
dores do rio preto,telefonia,40
dormentes,sinalizacao_e_seguranca,34
douradina,moveis_decoracao,27
dourado,informatica_acessorios,162
dourados,moveis_decoracao,330
doutor camargo,telefonia,20
doutor ulysses,beleza_saude,16
doverlandia,papelaria,25
doverlândia,papelaria,4
dracena,ferramentas_jardim,1950
duartina,cama_mesa_banho,294
duas barras,eletronicos,42
duere,perfumaria,3
dumont,automotivo,35
duque de caxias,cama_mesa_banho,2549
durande,bebes,13
durandé,bebes,5
dário meira,construcao_ferramentas_iluminacao,3
echapora,beleza_saude,78
echaporã,beleza_saude,15
ecoporanga,esporte_lazer,112
edeia,esporte_lazer,54
edéia,esporte_lazer,6
eldorado,construcao_ferramentas_iluminacao,72
eldorado do sul,cama_mesa_banho,456
elias fausto,ferramentas_jardim,144
eliseu martins,beleza_saude,9
elisiario,moveis_decoracao,3
elisio medrado,informatica_acessorios,6
eloi mendes,construcao_ferramentas_iluminacao,152
elói mendes,construcao_ferramentas_iluminacao,24
embauba,beleza_saude,5
embaúba,beleza_saude,1
embu,beleza_saude,399
embu das artes,beleza_saude,1697
embu guacu,cama_mesa_banho,66
embu guaçu,cama_mesa_banho,220
embu-guacu,cama_mesa_banho,3443
embu-guaçu,cama_mesa_banho,506
embuguacu,cama_mesa_banho,33
emilianopolis,cama_mesa_banho,36
emilianópolis,cama_mesa_banho,2
encantado,esporte_lazer,126
encruzilhada do sul,cama_mesa_banho,138
eneas marques,automotivo,27
engenheiro balduino,utilidades_domesticas,6
engenheiro balduíno,utilidades_domesticas,2
engenheiro beltrao,artes,36
engenheiro beltrão,artes,5
engenheiro coelho,automotivo,112
engenheiro navarro,instrumentos_musicais,15
engenheiro passos,cool_stuff,2
engenheiro paulo de frontin,automotivo,171
entre folhas,beleza_saude,15
entre rios,esporte_lazer,154
entre rios de minas,informatica_acessorios,210
entre rios do oeste,automotivo,13
entre-ijuis,cama_mesa_banho,54
entre-ijuís,cama_mesa_banho,9
enéas marques,automotivo,9
epitaciolandia,esporte_lazer,5
epitaciolândia,esporte_lazer,5
erebango,cool_stuff,8
erechim,bebes,1487
erere,cool_stuff,7
erico cardoso,esporte_lazer,6
erval grande,beleza_saude,10
ervalia,automotivo,59
ervália,automotivo,18
escada,beleza_saude,231
esmeralda,relogios_presentes,10
esmeraldas,beleza_saude,489
espera feliz,brinquedos,246
esperanca,telefonia,66
esperantina,relogios_presentes,78
esperantinopolis,bebes,9
esperantinópolis,bebes,5
esperança,telefonia,8
espigao,fashion_underwear_e_moda_praia,6
espigao alto do iguacu,automotivo,8
